Date,GS
2023-11-15,0.5415946705996741
2023-11-16,0.5298967926167727
2023-11-17,0.5437905924293022
2023-11-20,0.5435428112761413
2023-11-21,0.5217359902955797
2023-11-22,0.5570102957075279
2023-11-24,0.534692645304585
2023-11-27,0.5475057492080467
2023-11-28,0.5298087643821004
2023-11-29,0.5370213858162173
2023-11-30,0.5386407607291952
2023-12-01,0.5525717119197611
2023-12-04,0.5419291559201919
2023-12-05,0.5370476681133813
2023-12-06,0.5304213789549562
2023-12-07,0.5591092347891419
2023-12-08,0.5480905005063552
2023-12-11,0.5331552696843933
2023-12-12,0.5549259792916879
2023-12-13,0.5556842431356154
2023-12-14,0.5535907381507809
2023-12-15,0.5406925912192487
2023-12-18,0.5307096419554161
2023-12-19,0.5427244503096257
2023-12-20,0.5470196364842296
