Date,TFC
2023-11-16,0.5403989477241528
2023-11-17,0.5443046781601545
2023-11-20,0.545326785229148
2023-11-21,0.5395710703675466
2023-11-22,0.5419589757495877
2023-11-24,0.5452817719455694
2023-11-27,0.5409094507499795
2023-11-28,0.5491143633030081
2023-11-29,0.5472209429784506
2023-11-30,0.5418265745764962
2023-12-01,0.5482144236401689
2023-12-04,0.548198166420436
2023-12-05,0.5449375130121342
2023-12-06,0.545326785229148
2023-12-07,0.5451845980345938
2023-12-08,0.5452817719455694
2023-12-11,0.5416759339714203
2023-12-12,0.5409707448748304
2023-12-13,0.5503491418955707
2023-12-14,0.5530229552012111
2023-12-15,0.5428771742347789
2023-12-18,0.543104353325995
2023-12-19,0.5456458025367038
2023-12-20,0.5425249852469096
2023-12-21,0.5455487665666161
