Date,COF
2023-11-16,0.563408649852479
2023-11-17,0.5575063303435281
2023-11-20,0.5317078051778423
2023-11-21,0.5773071979391654
2023-11-22,0.5213792333640079
2023-11-24,0.572232963876841
2023-11-27,0.5596385121258965
2023-11-28,0.5572261326563642
2023-11-29,0.5569110063670403
2023-11-30,0.5647780369447043
2023-12-01,0.561328102191161
2023-12-04,0.5416078898064515
2023-12-05,0.5414017653153569
2023-12-06,0.5584210104537032
2023-12-07,0.552128252334012
2023-12-08,0.5423815078201293
2023-12-11,0.5600541490874765
2023-12-12,0.5491875436043995
2023-12-13,0.5573028738476656
2023-12-14,0.5654955447016158
2023-12-15,0.5579250295338646
2023-12-18,0.5447494757864927
2023-12-19,0.5365094848614603
2023-12-20,0.5495133463478599
2023-12-21,0.5374389227076962
