Date,STT
2023-11-15,0.5269714653238896
2023-11-16,0.5266726292037682
2023-11-17,0.5417246794933938
2023-11-20,0.531445909266597
2023-11-21,0.5452028010069246
2023-11-22,0.5505769928919501
2023-11-24,0.5286477222572872
2023-11-27,0.5403748420731717
2023-11-28,0.5475223863446544
2023-11-29,0.5262303281211858
2023-11-30,0.5543950309861536
2023-12-01,0.5219064360581903
2023-12-04,0.5249537388722046
2023-12-05,0.5607356885249749
2023-12-06,0.5246761918380434
2023-12-07,0.5240517675347671
2023-12-08,0.5349551629450856
2023-12-11,0.547821387084554
2023-12-12,0.5395198702986269
2023-12-13,0.5273283278597077
2023-12-14,0.5305158845021327
2023-12-15,0.5511381258129958
2023-12-18,0.5410360426318827
2023-12-19,0.5403095881625711
2023-12-20,0.5222661197615482
2023-12-21,0.5320693629773445
