Date,MS
2023-11-15,0.5772576241127819
2023-11-16,0.5731728946256945
2023-11-17,0.5802965998851152
2023-11-20,0.5546394054140608
2023-11-21,0.5866731687447443
2023-11-22,0.5753864137680827
2023-11-24,0.5845129559571983
2023-11-27,0.5717677608020413
2023-11-28,0.5784639636279761
2023-11-29,0.5787140818866494
2023-11-30,0.5835005348619752
2023-12-01,0.5776793998742068
2023-12-04,0.5645527079052276
2023-12-05,0.5700328860370797
2023-12-06,0.5863902837777877
2023-12-07,0.5705521692367577
2023-12-08,0.5598096149783633
2023-12-11,0.5861407587366827
2023-12-12,0.5586418503145528
2023-12-13,0.5564624811263119
2023-12-14,0.5729207948169935
2023-12-15,0.5701690739761993
2023-12-18,0.5842875830270803
2023-12-19,0.5676782763237169
2023-12-20,0.5587023306772149
