Date,BAC
2023-11-15,0.5467099201000727
2023-11-16,0.551053210243697
2023-11-17,0.553342636988854
2023-11-20,0.5567662202333105
2023-11-21,0.5499138845705499
2023-11-22,0.557395598339082
2023-11-24,0.5537472006052641
2023-11-27,0.5558121515423043
2023-11-28,0.5557082475042614
2023-11-29,0.546183446705383
2023-11-30,0.5465076494490436
2023-12-01,0.5450829126266884
2023-12-04,0.5553764124111383
2023-12-05,0.5571153671061748
2023-12-06,0.5548852446583608
2023-12-07,0.5519251205930964
2023-12-08,0.5529286914221597
2023-12-11,0.5540995930034688
2023-12-12,0.5503096019909243
2023-12-13,0.5415866275836587
2023-12-14,0.5328824723213706
2023-12-15,0.5554642785789903
2023-12-18,0.5528720365893388
2023-12-19,0.551497034991769
2023-12-20,0.553157861318903
