Date,JPM
2023-11-15,0.5804488835150656
2023-11-16,0.5604472790897933
2023-11-17,0.5696474412482587
2023-11-20,0.5635354867014885
2023-11-21,0.5852515177666845
2023-11-22,0.5599492927443838
2023-11-24,0.5414224108113128
2023-11-27,0.5788702329109137
2023-11-28,0.5571073626222136
2023-11-29,0.5411721197466447
2023-11-30,0.569531522724692
2023-12-01,0.5797148315488968
2023-12-04,0.5456051655363567
2023-12-05,0.5842311722713348
2023-12-06,0.5761468476873063
2023-12-07,0.5630250949580994
2023-12-08,0.552159096578646
2023-12-11,0.5626078084595925
2023-12-12,0.5555831304887416
2023-12-13,0.5543253989780569
2023-12-14,0.5650300823468796
2023-12-15,0.5621136043384406
2023-12-18,0.5485650611476611
2023-12-19,0.5787409696756053
2023-12-20,0.5685200007847634
