Date,AXP
2023-11-15,0.5712509283622038
2023-11-16,0.5628554277495236
2023-11-17,0.609656974617305
2023-11-20,0.5850400272349555
2023-11-21,0.569529838986212
2023-11-22,0.5851304295570049
2023-11-24,0.5889508728310964
2023-11-27,0.5739319302996272
2023-11-28,0.5959385306030692
2023-11-29,0.6078519225445028
2023-11-30,0.5813607579030454
2023-12-01,0.5677433241702903
2023-12-04,0.582298968556329
2023-12-05,0.5838152803529285
2023-12-06,0.6000600241752981
2023-12-07,0.5771787622170752
2023-12-08,0.611023725031553
2023-12-11,0.5838740023011721
2023-12-12,0.5802023893541123
2023-12-13,0.5929527383022479
2023-12-14,0.5931520230317219
2023-12-15,0.5855507890076649
2023-12-18,0.5735584420969057
2023-12-19,0.5931356882170186
2023-12-20,0.5906976757664785
2023-12-21,0.5995916424401811
