Date,USB
2023-11-15,0.5418459385127125
2023-11-16,0.5600710793188316
2023-11-17,0.5393925500743434
2023-11-20,0.5699874438105316
2023-11-21,0.5309177863949978
2023-11-22,0.5556821860839674
2023-11-24,0.5652514312918476
2023-11-27,0.525920359936319
2023-11-28,0.5734750460368591
2023-11-29,0.5223524305883526
2023-11-30,0.5338669022471437
2023-12-01,0.5330556907542617
2023-12-04,0.5669513160749191
2023-12-05,0.5665276520407195
2023-12-06,0.5371722224240248
2023-12-07,0.534455885298114
2023-12-08,0.5505344788125107
2023-12-11,0.5460073437576974
2023-12-12,0.5493896910432751
2023-12-13,0.5189976378252796
2023-12-14,0.5196825053322814
2023-12-15,0.5353899757195003
2023-12-18,0.5374722800403268
2023-12-19,0.5429264664145111
2023-12-20,0.5382312448862665
2023-12-21,0.543674638026786
