Date,BK
2023-11-15,0.5188903362861332
2023-11-16,0.5494576837692631
2023-11-17,0.5290041778317381
2023-11-20,0.5442967584464689
2023-11-21,0.5274635966586693
2023-11-22,0.5408322987382576
2023-11-24,0.5169811339749814
2023-11-27,0.5471680267763231
2023-11-28,0.5323305609611424
2023-11-29,0.512001730349133
2023-11-30,0.5229500206742568
2023-12-01,0.5341261858660663
2023-12-04,0.5485401363647063
2023-12-05,0.5559105766645517
2023-12-06,0.5370471108988686
2023-12-07,0.5328841136440764
2023-12-08,0.5421232661335534
2023-12-11,0.550984567539272
2023-12-12,0.5577761156003008
2023-12-13,0.5330116353026313
2023-12-14,0.5087310196422928
2023-12-15,0.5492922095134366
2023-12-18,0.5314481236587008
2023-12-19,0.5765092692567456
2023-12-20,0.5242791556497924
