Date,PNC
2023-11-15,0.5827011961294214
2023-11-16,0.5294915038502005
2023-11-17,0.5681500608893545
2023-11-20,0.5781947432868187
2023-11-21,0.5528940477361889
2023-11-22,0.5780161958821227
2023-11-24,0.5549113344945716
2023-11-27,0.5576483101262345
2023-11-28,0.5499485710905143
2023-11-29,0.5552661303323542
2023-11-30,0.5416432319591302
2023-12-01,0.5795100780924773
2023-12-04,0.553584740088562
2023-12-05,0.5421992163021535
2023-12-06,0.55977534836632
2023-12-07,0.565695788600031
2023-12-08,0.5479470847530891
2023-12-11,0.5412385508088832
2023-12-12,0.5446058362096987
2023-12-13,0.5739889476882901
2023-12-14,0.514930502769618
2023-12-15,0.5757028278808566
2023-12-18,0.5589909094845257
2023-12-19,0.5622650452477381
2023-12-20,0.5737612248931026
