Date,WFC
2023-11-15,0.5238618074460222
2023-11-16,0.5272561433966927
2023-11-17,0.5250424951638893
2023-11-20,0.5140887109102796
2023-11-21,0.5246046355951482
2023-11-22,0.5178847298396653
2023-11-24,0.5273629111498178
2023-11-27,0.5237290158959448
2023-11-28,0.5280499373831055
2023-11-29,0.5311102146713876
2023-11-30,0.5261268577704284
2023-12-01,0.5309314469084446
2023-12-04,0.5295682234852289
2023-12-05,0.5150765621115235
2023-12-06,0.5239705254062126
2023-12-07,0.531040152602738
2023-12-08,0.52587257385468
2023-12-11,0.524095573661388
2023-12-12,0.5305961962414173
2023-12-13,0.5264595295880434
2023-12-14,0.5350538337054013
2023-12-15,0.5270695125969983
2023-12-18,0.5265501168063355
2023-12-19,0.5159035542218104
2023-12-20,0.5162712792413512
2023-12-21,0.5237444210479983
