Date,CB
2023-11-15,0.5302054511878035
2023-11-16,0.5384021776215198
2023-11-17,0.5253278490667852
2023-11-20,0.5320214927227226
2023-11-21,0.5427743135227132
2023-11-22,0.5280907772109287
2023-11-24,0.5298826599784147
2023-11-27,0.5347018129954487
2023-11-28,0.5358422284665548
2023-11-29,0.5238799353622988
2023-11-30,0.5221564145215712
2023-12-01,0.5101765138658568
2023-12-04,0.5331326408998567
2023-12-05,0.5355561909953059
2023-12-06,0.5472536501366227
2023-12-07,0.5248675861444468
2023-12-08,0.5253465490087194
2023-12-11,0.5300118426826237
2023-12-12,0.532661861042984
2023-12-13,0.4988103236545653
2023-12-14,0.5042699569850209
2023-12-15,0.5520447214367307
2023-12-18,0.5382625480505097
2023-12-19,0.5322354362401973
2023-12-20,0.5749781913755649
