Date,AXP,BAC,BK,C,CB,COF,GS,JPM,MS,PNC,SCHW,STT,TFC,USB,WFC
2015-04-23,4815400,50292200,5304000,13049600,1714400,2361500,2053400,12851300,8486900,2498900,6804400,2803000,6464900,6878300,14657800
2015-04-24,3400700,40766100,5176700,10150500,1404400,3780700,1445700,9597500,8643200,1969200,5837700,4179500,4921900,6454900,15268100
2015-04-27,6901700,73523400,6406600,15613000,1545400,2815700,1767100,11146400,8924200,1981300,5787700,3792300,5152900,5703900,19852400
2015-04-28,6493400,58080100,6100300,14134500,1315900,1783500,1909400,12307800,7525400,1954000,5131300,1889700,3337600,5804400,13028300
2015-04-29,4322600,134499400,6322500,22542400,1282800,1899900,2480600,17601200,9518400,2105000,6808400,1587900,3560500,5639500,18144500
2015-04-30,6754100,78313900,4647900,19420600,1450200,4201200,2732800,16840900,10413900,2047900,6820600,2143400,4026400,6455300,16577800
2015-05-01,3859200,78171400,6102300,13147600,798100,2840000,2029500,11640100,6469600,1418900,4239300,1185700,4108200,3736600,12069400
2015-05-04,3896700,76592300,3982400,15670100,1429900,1934200,1581600,14972500,7375700,1686900,7957100,1654100,3771400,5120000,9981800
2015-05-05,5325800,106148700,7238800,20669100,1265800,2760800,2287500,17692400,10339600,2011200,7959800,3029300,3407600,5444900,17068100
2015-05-06,5896600,96426500,5211900,19414800,1032100,3283900,2433700,18087900,9532500,1876300,8116000,2649800,3029000,4800200,15670700
2015-05-07,7924600,73794800,6132900,14954200,1218400,3150900,1795300,15039900,12404700,2091200,7309200,1816300,2233200,4677400,14723100
2015-05-08,7198100,86333700,6755900,17333500,888000,2767400,3192500,16802600,10037900,1767200,5923000,1359900,3296200,5162100,17477500
2015-05-11,5827400,56246000,6139100,13896800,950900,2109500,1966700,13798800,12349100,1647300,11008100,2278900,2907400,3953800,12922100
2015-05-12,4575700,59627100,3880100,13336900,1870800,2438900,2247500,12762200,9689300,1988100,7336800,2210900,2559800,6714700,11705900
2015-05-13,5494500,47330600,4396500,15810400,1326300,2172300,2143300,11874100,7016100,2181800,4858100,1466000,2716000,5966400,11448100
2015-05-14,4450800,55395700,4573800,14250800,1383600,2390800,1957000,11855500,7291300,2412400,6407900,3377000,1992800,4147400,11025400
2015-05-15,4479300,54937800,5656200,10377200,873000,3146200,1742900,11152100,7093800,2651900,5259000,1963100,2352600,4966300,13323200
2015-05-18,4579900,51059900,6825400,11717600,1162000,1665600,2164600,10510900,6061400,1195600,6779500,2278500,2577200,5101200,10637300
2015-05-19,6063500,89115500,7493400,18207400,973000,2615600,2370100,14282700,7380900,2630100,5494400,2036500,4118300,4555700,17194100
2015-05-20,3986700,67684000,4134800,13954600,830900,2119300,1831200,12446000,6339300,1445300,5243300,1538600,2450400,8055700,13292000
